id,original_title,overview,popularity,title,vote_average,title_sentiment,overview_sentiment,title_length,num_words_in_title,average_title_word_length,has_made_up_word,made_up_word_count
10957,The Black Cauldron,"Taran is an assistant pigkeeper with boyish dreams of becoming a great warrior. However, he has to put the daydreaming aside when his charge, an oracular pig named Hen Wen, is kidnapped by an evil lord known as the Horned King. The villain hopes Hen will show him the way to The Black Cauldron, which has the power to create a giant army of unstoppable soldiers.",30.332,The Black Cauldron,6.434,0.0,0.2263,18.0,3.0,5.333333333333333,False,0.0
290250,The Nice Guys,A private eye investigates the apparent suicide of a fading porn star in 1970s Los Angeles and uncovers a conspiracy.,32.836,The Nice Guys,7.114,0.4215,-0.836,13.0,3.0,3.6666666666666665,False,0.0
19543,Anacondas: Trail of Blood,"A genetically created Anaconda, cut in half, regenerates itself into two new aggressive giant snakes, due to the Blood Orchid.",29.831,Anacondas: Trail of Blood,4.7,0.0,-0.1779,25.0,4.0,5.5,False,0.0
1010823,Magnum Opus,"Groot sets out to paint a family portrait of himself and the Guardians, only to discover just how messy the artistic process can be.",21.358,Magnum Opus,7.308,0.0,-0.3612,11.0,2.0,5.0,False,0.0
723072,Host,"Six friends hire a medium to hold a séance via Zoom during lockdown — but they get far more than they bargained for as things quickly go wrong. When an evil spirit starts invading their homes, they begin to realise they might not survive the night.",35.836,Host,6.474,0.0,-0.8462,4.0,1.0,4.0,False,0.0
11808,U.S. Marshals,"U.S. Marshal Sam Gerard is accompanying a plane load of convicts from Chicago to New York. The plane crashes spectacularly, and Mark Sheridan escapes. But when Diplomatic Security Agent John Royce is assigned to help Gerard recapture Sheridan, it becomes clear that Sheridan is more than just another murderer.",40.571,U.S. Marshals,6.503,0.0,0.4404,13.0,2.0,6.0,False,0.0
961651,Spider-Man: All Roads Lead to No Way Home,"Join our hosts JB Smoove and Martin Starr for a celebration of 20 years of Spider-Man™ movies!  From the original Sam Raimi trilogy to Marc Webb’s “amazing” movies to the latest trio from Director Jon Watts, we will take viewers through the stars, the stunts and action, the villains and heroes and an homage to Stan Lee, along with a few surprises. Find your favourite Spider-Man pajamas and prepare to swing through the past two decades of Spider-Man at the movies!",32.427,Spider-Man: All Roads Lead to No Way Home,6.9,-0.296,0.5972,41.0,8.0,4.25,False,0.0
989596,La Tresse,"India. Smita is an untouchable. She dreams of seeing her daughter escape her miserable condition and enter school. Italy. Giulia works in her father’s workshop. When he has an accident, she discovers that the family business is ruined. Canada. Sarah, a successful lawyer, is about to be promoted to the head of her firm when she learns that she is ill. Three lives, three women, three continents. Three battles to fight. Although they don’t know each other, Smita, Giulia and Sarah are unknowingly linked by their most intimate and singular bond.",40.447,The Braid,7.8,0.0,-0.7506,9.0,2.0,4.0,False,0.0
648579,The Unbearable Weight of Massive Talent,"Creatively unfulfilled and facing financial ruin, Nick Cage must accept a $1 million offer to attend the birthday of a dangerous superfan. Things take a wildly unexpected turn when Cage is recruited by a CIA operative and forced to live up to his own legend, channeling his most iconic and beloved on-screen characters in order to save himself and his loved ones.",32.595,The Unbearable Weight of Massive Talent,6.8,0.4215,0.4703,39.0,6.0,5.666666666666667,False,0.0
653851,Devotion,The harrowing true story of two elite US Navy fighter pilots during the Korean War. Their heroic sacrifices would ultimately make them the Navy's most celebrated wingmen.,34.357,Devotion,7.2,0.4588,0.796,8.0,1.0,8.0,False,0.0
